Date,Cases,Cumulative_cases,Country
2022/8/4,0,37,Argentina
2022/8/5,0,37,Argentina
2022/8/6,0,37,Argentina
2022/8/7,0,37,Argentina
2022/8/8,0,37,Argentina
2022/8/9,0,37,Argentina
2022/8/10,12,49,Argentina
2022/8/11,0,49,Argentina
2022/8/12,0,49,Argentina
2022/8/13,0,49,Argentina
2022/8/14,0,49,Argentina
2022/8/15,0,49,Argentina
2022/8/16,23,72,Argentina
2022/8/17,0,72,Argentina
2022/8/18,0,72,Argentina
2022/8/19,0,72,Argentina
2022/8/20,0,72,Argentina
2022/8/21,0,72,Argentina
2022/8/22,0,72,Argentina
2022/8/23,0,72,Argentina
2022/8/24,61,133,Argentina
2022/8/25,0,133,Argentina
2022/8/26,0,133,Argentina
2022/8/27,0,133,Argentina
2022/8/28,0,133,Argentina
2022/8/29,0,133,Argentina
2022/8/30,0,133,Argentina
2022/8/31,0,133,Argentina
2022/9/1,37,170,Argentina
2022/9/2,0,170,Argentina
2022/9/3,0,170,Argentina
2022/9/4,0,170,Argentina
2022/9/5,0,170,Argentina
2022/9/6,0,170,Argentina
2022/9/7,0,170,Argentina
2022/9/8,0,170,Argentina
2022/8/22,1,1,Aruba
2022/8/23,0,1,Aruba
2022/8/24,0,1,Aruba
2022/8/25,0,1,Aruba
2022/8/26,0,1,Aruba
2022/8/27,0,1,Aruba
2022/8/28,0,1,Aruba
2022/8/29,1,2,Aruba
2022/8/30,0,2,Aruba
2022/8/31,0,2,Aruba
2022/9/1,0,2,Aruba
2022/9/2,0,2,Aruba
2022/9/3,0,2,Aruba
2022/9/4,0,2,Aruba
2022/9/5,0,2,Aruba
2022/9/6,0,2,Aruba
2022/9/7,0,2,Aruba
2022/9/8,0,2,Aruba
2022/5/20,2,2,Australia
2022/5/21,0,2,Australia
2022/5/22,0,2,Australia
2022/5/23,0,2,Australia
2022/5/24,0,2,Australia
2022/5/25,0,2,Australia
2022/5/26,0,2,Australia
2022/5/27,0,2,Australia
2022/5/28,0,2,Australia
2022/5/29,0,2,Australia
2022/5/30,0,2,Australia
2022/5/31,0,2,Australia
2022/6/1,0,2,Australia
2022/6/2,2,4,Australia
2022/6/3,1,5,Australia
2022/6/4,1,6,Australia
2022/6/5,0,6,Australia
2022/6/6,0,6,Australia
2022/6/7,0,6,Australia
2022/6/8,0,6,Australia
2022/6/9,2,8,Australia
2022/6/10,0,8,Australia
2022/6/11,0,8,Australia
2022/6/12,0,8,Australia
2022/6/13,0,8,Australia
2022/6/14,0,8,Australia
2022/6/15,2,10,Australia
2022/6/16,1,11,Australia
2022/6/17,0,11,Australia
2022/6/18,0,11,Australia
2022/6/19,0,11,Australia
2022/6/20,0,11,Australia
2022/6/21,0,11,Australia
2022/6/22,0,11,Australia
2022/6/23,0,11,Australia
2022/6/24,0,11,Australia
2022/6/25,0,11,Australia
2022/6/26,0,11,Australia
2022/6/27,0,11,Australia
2022/6/28,0,11,Australia
2022/6/29,0,11,Australia
2022/6/30,1,12,Australia
2022/7/1,0,12,Australia
2022/7/2,0,12,Australia
2022/7/3,0,12,Australia
2022/7/4,0,12,Australia
2022/7/5,0,12,Australia
2022/7/6,5,17,Australia
2022/7/7,3,20,Australia
2022/7/8,0,20,Australia
2022/7/9,0,20,Australia
2022/7/10,4,24,Australia
2022/7/11,0,24,Australia
2022/7/12,4,28,Australia
2022/7/13,0,28,Australia
2022/7/14,5,33,Australia
2022/7/15,0,33,Australia
2022/7/16,0,33,Australia
2022/7/17,0,33,Australia
2022/7/18,0,33,Australia
2022/7/19,8,41,Australia
2022/7/20,0,41,Australia
2022/7/21,0,41,Australia
2022/7/22,0,41,Australia
2022/7/23,0,41,Australia
2022/7/24,2,43,Australia
2022/7/25,0,43,Australia
2022/7/26,0,43,Australia
2022/7/27,1,44,Australia
2022/7/28,0,44,Australia
2022/7/29,0,44,Australia
2022/7/30,0,44,Australia
2022/7/31,0,44,Australia
2022/8/1,0,44,Australia
2022/8/2,9,53,Australia
2022/8/3,0,53,Australia
2022/8/4,4,57,Australia
2022/8/5,0,57,Australia
2022/8/6,0,57,Australia
2022/8/7,0,57,Australia
2022/8/8,0,57,Australia
2022/8/9,9,66,Australia
2022/8/10,0,66,Australia
2022/8/11,4,70,Australia
2022/8/12,0,70,Australia
2022/8/13,0,70,Australia
2022/8/14,0,70,Australia
2022/8/15,0,70,Australia
2022/8/16,12,82,Australia
2022/8/17,0,82,Australia
2022/8/18,7,89,Australia
2022/8/19,0,89,Australia
2022/8/20,0,89,Australia
2022/8/21,0,89,Australia
2022/8/22,0,89,Australia
2022/8/23,13,102,Australia
2022/8/24,0,102,Australia
2022/8/25,4,106,Australia
2022/8/26,0,106,Australia
2022/8/27,0,106,Australia
2022/8/28,0,106,Australia
2022/8/29,0,106,Australia
2022/8/30,15,121,Australia
2022/8/31,0,121,Australia
2022/9/1,3,124,Australia
2022/9/2,0,124,Australia
2022/9/3,0,124,Australia
2022/9/4,0,124,Australia
2022/9/5,1,125,Australia
2022/9/6,0,125,Australia
2022/9/7,0,125,Australia
2022/9/8,0,125,Australia
2022/5/23,1,1,Austria
2022/5/24,0,1,Austria
2022/5/25,0,1,Austria
2022/5/26,0,1,Austria
2022/5/27,0,1,Austria
2022/5/28,0,1,Austria
2022/5/29,0,1,Austria
2022/5/30,0,1,Austria
2022/5/31,0,1,Austria
2022/6/1,0,1,Austria
2022/6/2,0,1,Austria
2022/6/3,0,1,Austria
2022/6/4,0,1,Austria
2022/6/5,0,1,Austria
2022/6/6,0,1,Austria
2022/6/7,0,1,Austria
2022/6/8,0,1,Austria
2022/6/9,0,1,Austria
2022/6/10,0,1,Austria
2022/6/11,0,1,Austria
2022/6/12,0,1,Austria
2022/6/13,2,3,Austria
2022/6/14,0,3,Austria
2022/6/15,1,4,Austria
2022/6/16,0,4,Austria
2022/6/17,7,11,Austria
2022/6/18,0,11,Austria
2022/6/19,0,11,Austria
2022/6/20,0,11,Austria
2022/6/21,1,12,Austria
2022/6/22,0,12,Austria
2022/6/23,0,12,Austria
2022/6/24,8,20,Austria
2022/6/25,0,20,Austria
2022/6/26,0,20,Austria
2022/6/27,0,20,Austria
2022/6/28,0,20,Austria
2022/6/29,0,20,Austria
2022/6/30,0,20,Austria
2022/7/1,17,37,Austria
2022/7/2,0,37,Austria
2022/7/3,0,37,Austria
2022/7/4,0,37,Austria
2022/7/5,0,37,Austria
2022/7/6,0,37,Austria
2022/7/7,0,37,Austria
2022/7/8,25,62,Austria
2022/7/9,0,62,Austria
2022/7/10,0,62,Austria
2022/7/11,0,62,Austria
2022/7/12,0,62,Austria
2022/7/13,0,62,Austria
2022/7/14,0,62,Austria
2022/7/15,21,83,Austria
2022/7/16,0,83,Austria
2022/7/17,0,83,Austria
2022/7/18,0,83,Austria
2022/7/19,0,83,Austria
2022/7/20,0,83,Austria
2022/7/21,0,83,Austria
2022/7/22,16,99,Austria
2022/7/23,0,99,Austria
2022/7/24,0,99,Austria
2022/7/25,0,99,Austria
2022/7/26,0,99,Austria
2022/7/27,12,111,Austria
2022/7/28,0,111,Austria
2022/7/29,0,111,Austria
2022/7/30,0,111,Austria
2022/7/31,0,111,Austria
2022/8/1,21,132,Austria
2022/8/2,0,132,Austria
2022/8/3,3,135,Austria
2022/8/4,0,135,Austria
2022/8/5,25,160,Austria
2022/8/6,0,160,Austria
2022/8/7,0,160,Austria
2022/8/8,13,173,Austria
2022/8/9,2,175,Austria
2022/8/10,0,175,Austria
2022/8/11,0,175,Austria
2022/8/12,23,198,Austria
2022/8/13,0,198,Austria
2022/8/14,0,198,Austria
2022/8/15,0,198,Austria
2022/8/16,0,198,Austria
2022/8/17,18,216,Austria
2022/8/18,1,217,Austria
2022/8/19,1,218,Austria
2022/8/20,0,218,Austria
2022/8/21,0,218,Austria
2022/8/22,0,218,Austria
2022/8/23,13,231,Austria
2022/8/24,3,234,Austria
2022/8/25,0,234,Austria
2022/8/26,24,258,Austria
2022/8/27,0,258,Austria
2022/8/28,0,258,Austria
2022/8/29,7,265,Austria
2022/8/30,0,265,Austria
2022/8/31,0,265,Austria
2022/9/1,0,265,Austria
2022/9/2,8,273,Austria
2022/9/3,0,273,Austria
2022/9/4,0,273,Austria
2022/9/5,0,273,Austria
2022/9/6,0,273,Austria
2022/9/7,5,278,Austria
2022/9/8,0,278,Austria
2022/6/24,1,1,Bahamas
2022/6/25,0,1,Bahamas
2022/6/26,0,1,Bahamas
2022/6/27,0,1,Bahamas
2022/6/28,0,1,Bahamas
2022/6/29,0,1,Bahamas
2022/6/30,0,1,Bahamas
2022/7/1,0,1,Bahamas
2022/7/2,0,1,Bahamas
2022/7/3,0,1,Bahamas
2022/7/4,0,1,Bahamas
2022/7/5,0,1,Bahamas
2022/7/6,0,1,Bahamas
2022/7/7,0,1,Bahamas
2022/7/8,0,1,Bahamas
2022/7/9,0,1,Bahamas
2022/7/10,0,1,Bahamas
2022/7/11,0,1,Bahamas
2022/7/12,0,1,Bahamas
2022/7/13,0,1,Bahamas
2022/7/14,0,1,Bahamas
2022/7/15,0,1,Bahamas
2022/7/16,0,1,Bahamas
2022/7/17,0,1,Bahamas
2022/7/18,0,1,Bahamas
2022/7/19,0,1,Bahamas
2022/7/20,0,1,Bahamas
2022/7/21,0,1,Bahamas
2022/7/22,0,1,Bahamas
2022/7/23,0,1,Bahamas
2022/7/24,0,1,Bahamas
2022/7/25,0,1,Bahamas
2022/7/26,0,1,Bahamas
2022/7/27,0,1,Bahamas
2022/7/28,0,1,Bahamas
2022/7/29,0,1,Bahamas
2022/7/30,0,1,Bahamas
2022/7/31,0,1,Bahamas
2022/8/1,0,1,Bahamas
2022/8/2,0,1,Bahamas
2022/8/3,0,1,Bahamas
2022/8/4,0,1,Bahamas
2022/8/5,0,1,Bahamas
2022/8/6,0,1,Bahamas
2022/8/7,0,1,Bahamas
2022/8/8,0,1,Bahamas
2022/8/9,0,1,Bahamas
2022/8/10,0,1,Bahamas
2022/8/11,0,1,Bahamas
2022/8/12,0,1,Bahamas
2022/8/13,0,1,Bahamas
2022/8/14,0,1,Bahamas
2022/8/15,0,1,Bahamas
2022/8/16,0,1,Bahamas
2022/8/17,0,1,Bahamas
2022/8/18,0,1,Bahamas
2022/8/19,1,2,Bahamas
2022/8/20,0,2,Bahamas
2022/8/21,0,2,Bahamas
2022/8/22,0,2,Bahamas
2022/8/23,0,2,Bahamas
2022/8/24,0,2,Bahamas
2022/8/25,0,2,Bahamas
2022/8/26,0,2,Bahamas
2022/8/27,0,2,Bahamas
2022/8/28,0,2,Bahamas
2022/8/29,0,2,Bahamas
2022/8/30,0,2,Bahamas
2022/8/31,0,2,Bahamas
2022/9/1,0,2,Bahamas
2022/9/2,0,2,Bahamas
2022/9/3,0,2,Bahamas
2022/9/4,0,2,Bahamas
2022/9/5,0,2,Bahamas
2022/9/6,0,2,Bahamas
2022/9/7,0,2,Bahamas
2022/9/8,0,2,Bahamas
2022/7/16,1,1,Barbados
2022/7/17,0,1,Barbados
2022/7/18,0,1,Barbados
2022/7/19,0,1,Barbados
2022/7/20,0,1,Barbados
2022/7/21,0,1,Barbados
2022/7/22,0,1,Barbados
2022/7/23,0,1,Barbados
2022/7/24,0,1,Barbados
2022/7/25,0,1,Barbados
2022/7/26,0,1,Barbados
2022/7/27,0,1,Barbados
2022/7/28,0,1,Barbados
2022/7/29,0,1,Barbados
2022/7/30,0,1,Barbados
2022/7/31,0,1,Barbados
2022/8/1,0,1,Barbados
2022/8/2,0,1,Barbados
2022/8/3,0,1,Barbados
2022/8/4,0,1,Barbados
2022/8/5,0,1,Barbados
2022/8/6,0,1,Barbados
2022/8/7,0,1,Barbados
2022/8/8,0,1,Barbados
2022/8/9,0,1,Barbados
2022/8/10,0,1,Barbados
2022/8/11,0,1,Barbados
2022/8/12,0,1,Barbados
2022/8/13,0,1,Barbados
2022/8/14,0,1,Barbados
2022/8/15,0,1,Barbados
2022/8/16,0,1,Barbados
2022/8/17,0,1,Barbados
2022/8/18,0,1,Barbados
2022/8/19,0,1,Barbados
2022/8/20,0,1,Barbados
2022/8/21,0,1,Barbados
2022/8/22,0,1,Barbados
2022/8/23,0,1,Barbados
2022/8/24,0,1,Barbados
2022/8/25,0,1,Barbados
2022/8/26,0,1,Barbados
2022/8/27,0,1,Barbados
2022/8/28,0,1,Barbados
2022/8/29,0,1,Barbados
2022/8/30,0,1,Barbados
2022/8/31,0,1,Barbados
2022/9/1,0,1,Barbados
2022/9/2,0,1,Barbados
2022/9/3,0,1,Barbados
2022/9/4,0,1,Barbados
2022/9/5,0,1,Barbados
2022/9/6,0,1,Barbados
2022/9/7,0,1,Barbados
2022/9/8,0,1,Barbados
2022/5/19,1,1,Belgium
2022/5/20,2,3,Belgium
2022/5/21,1,4,Belgium
2022/5/22,0,4,Belgium
2022/5/23,0,4,Belgium
2022/5/24,0,4,Belgium
2022/5/25,2,6,Belgium
2022/5/26,0,6,Belgium
2022/5/27,0,6,Belgium
2022/5/28,3,9,Belgium
2022/5/29,0,9,Belgium
2022/5/30,0,9,Belgium
2022/5/31,0,9,Belgium
2022/6/1,5,14,Belgium
2022/6/2,0,14,Belgium
2022/6/3,3,17,Belgium
2022/6/4,0,17,Belgium
2022/6/5,0,17,Belgium
2022/6/6,0,17,Belgium
2022/6/7,0,17,Belgium
2022/6/8,8,25,Belgium
2022/6/9,0,25,Belgium
2022/6/10,0,25,Belgium
2022/6/11,0,25,Belgium
2022/6/12,0,25,Belgium
2022/6/13,0,25,Belgium
2022/6/14,0,25,Belgium
2022/6/15,27,52,Belgium
2022/6/16,0,52,Belgium
2022/6/17,10,62,Belgium
2022/6/18,0,62,Belgium
2022/6/19,0,62,Belgium
2022/6/20,0,62,Belgium
2022/6/21,15,77,Belgium
2022/6/22,0,77,Belgium
2022/6/23,0,77,Belgium
2022/6/24,0,77,Belgium
2022/6/25,0,77,Belgium
2022/6/26,0,77,Belgium
2022/6/27,0,77,Belgium
2022/6/28,40,117,Belgium
2022/6/29,0,117,Belgium
2022/6/30,0,117,Belgium
2022/7/1,0,117,Belgium
2022/7/2,0,117,Belgium
2022/7/3,0,117,Belgium
2022/7/4,0,117,Belgium
2022/7/5,51,168,Belgium
2022/7/6,0,168,Belgium
2022/7/7,0,168,Belgium
2022/7/8,0,168,Belgium
2022/7/9,0,168,Belgium
2022/7/10,0,168,Belgium
2022/7/11,0,168,Belgium
2022/7/12,56,224,Belgium
2022/7/13,0,224,Belgium
2022/7/14,0,224,Belgium
2022/7/15,0,224,Belgium
2022/7/16,0,224,Belgium
2022/7/17,0,224,Belgium
2022/7/18,87,311,Belgium
2022/7/19,0,311,Belgium
2022/7/20,0,311,Belgium
2022/7/21,0,311,Belgium
2022/7/22,0,311,Belgium
2022/7/23,0,311,Belgium
2022/7/24,0,311,Belgium
2022/7/25,82,393,Belgium
2022/7/26,0,393,Belgium
2022/7/27,0,393,Belgium
2022/7/28,0,393,Belgium
2022/7/29,0,393,Belgium
2022/7/30,0,393,Belgium
2022/7/31,0,393,Belgium
2022/8/1,89,482,Belgium
2022/8/2,0,482,Belgium
2022/8/3,0,482,Belgium
2022/8/4,0,482,Belgium
2022/8/5,0,482,Belgium
2022/8/6,0,482,Belgium
2022/8/7,0,482,Belgium
2022/8/8,64,546,Belgium
2022/8/9,0,546,Belgium
2022/8/10,0,546,Belgium
2022/8/11,0,546,Belgium
2022/8/12,0,546,Belgium
2022/8/13,0,546,Belgium
2022/8/14,0,546,Belgium
2022/8/15,78,624,Belgium
2022/8/16,0,624,Belgium
2022/8/17,0,624,Belgium
2022/8/18,0,624,Belgium
2022/8/19,0,624,Belgium
2022/8/20,0,624,Belgium
2022/8/21,0,624,Belgium
2022/8/22,47,671,Belgium
2022/8/23,0,671,Belgium
2022/8/24,0,671,Belgium
2022/8/25,0,671,Belgium
2022/8/26,0,671,Belgium
2022/8/27,0,671,Belgium
2022/8/28,0,671,Belgium
2022/8/29,35,706,Belgium
2022/8/30,0,706,Belgium
2022/8/31,0,706,Belgium
2022/9/1,0,706,Belgium
2022/9/2,0,706,Belgium
2022/9/3,0,706,Belgium
2022/9/4,0,706,Belgium
2022/9/5,20,726,Belgium
2022/9/6,0,726,Belgium
2022/9/7,0,726,Belgium
2022/9/8,0,726,Belgium
2022/6/14,3,3,Benin
2022/6/15,0,3,Benin
2022/6/16,0,3,Benin
2022/6/17,0,3,Benin
2022/6/18,0,3,Benin
2022/6/19,0,3,Benin
2022/6/20,0,3,Benin
2022/6/21,0,3,Benin
2022/6/22,0,3,Benin
2022/6/23,0,3,Benin
2022/6/24,0,3,Benin
2022/6/25,0,3,Benin
2022/6/26,0,3,Benin
2022/6/27,0,3,Benin
2022/6/28,0,3,Benin
2022/6/29,0,3,Benin
2022/6/30,0,3,Benin
2022/7/1,0,3,Benin
2022/7/2,0,3,Benin
2022/7/3,0,3,Benin
2022/7/4,0,3,Benin
2022/7/5,0,3,Benin
2022/7/6,0,3,Benin
2022/7/7,0,3,Benin
2022/7/8,0,3,Benin
2022/7/9,0,3,Benin
2022/7/10,0,3,Benin
2022/7/11,0,3,Benin
2022/7/12,0,3,Benin
2022/7/13,0,3,Benin
2022/7/14,0,3,Benin
2022/7/15,0,3,Benin
2022/7/16,0,3,Benin
2022/7/17,0,3,Benin
2022/7/18,0,3,Benin
2022/7/19,0,3,Benin
2022/7/20,0,3,Benin
2022/7/21,0,3,Benin
2022/7/22,0,3,Benin
2022/7/23,0,3,Benin
2022/7/24,0,3,Benin
2022/7/25,0,3,Benin
2022/7/26,0,3,Benin
2022/7/27,0,3,Benin
2022/7/28,0,3,Benin
2022/7/29,0,3,Benin
2022/7/30,0,3,Benin
2022/7/31,0,3,Benin
2022/8/1,0,3,Benin
2022/8/2,0,3,Benin
2022/8/3,0,3,Benin
2022/8/4,0,3,Benin
2022/8/5,0,3,Benin
2022/8/6,0,3,Benin
2022/8/7,0,3,Benin
2022/8/8,0,3,Benin
2022/8/9,0,3,Benin
2022/8/10,0,3,Benin
2022/8/11,0,3,Benin
2022/8/12,0,3,Benin
2022/8/13,0,3,Benin
2022/8/14,0,3,Benin
2022/8/15,0,3,Benin
2022/8/16,0,3,Benin
2022/8/17,0,3,Benin
2022/8/18,0,3,Benin
2022/8/19,0,3,Benin
2022/8/20,0,3,Benin
2022/8/21,0,3,Benin
2022/8/22,0,3,Benin
2022/8/23,0,3,Benin
2022/8/24,0,3,Benin
2022/8/25,0,3,Benin
2022/8/26,0,3,Benin
2022/8/27,0,3,Benin
2022/8/28,0,3,Benin
2022/8/29,0,3,Benin
2022/8/30,0,3,Benin
2022/8/31,0,3,Benin
2022/9/1,0,3,Benin
2022/9/2,0,3,Benin
2022/9/3,0,3,Benin
2022/9/4,0,3,Benin
2022/9/5,0,3,Benin
2022/9/6,0,3,Benin
2022/9/7,0,3,Benin
2022/9/8,0,3,Benin
2022/7/21,1,1,Bermuda
2022/7/22,0,1,Bermuda
2022/7/23,0,1,Bermuda
2022/7/24,0,1,Bermuda
2022/7/25,0,1,Bermuda
2022/7/26,0,1,Bermuda
2022/7/27,0,1,Bermuda
2022/7/28,0,1,Bermuda
2022/7/29,0,1,Bermuda
2022/7/30,0,1,Bermuda
2022/7/31,0,1,Bermuda
2022/8/1,0,1,Bermuda
2022/8/2,0,1,Bermuda
2022/8/3,0,1,Bermuda
2022/8/4,0,1,Bermuda
2022/8/5,0,1,Bermuda
2022/8/6,0,1,Bermuda
2022/8/7,0,1,Bermuda
2022/8/8,0,1,Bermuda
2022/8/9,0,1,Bermuda
2022/8/10,0,1,Bermuda
2022/8/11,0,1,Bermuda
2022/8/12,0,1,Bermuda
2022/8/13,0,1,Bermuda
2022/8/14,0,1,Bermuda
2022/8/15,0,1,Bermuda
2022/8/16,0,1,Bermuda
2022/8/17,0,1,Bermuda
2022/8/18,0,1,Bermuda
2022/8/19,0,1,Bermuda
2022/8/20,0,1,Bermuda
2022/8/21,0,1,Bermuda
2022/8/22,0,1,Bermuda
2022/8/23,0,1,Bermuda
2022/8/24,0,1,Bermuda
2022/8/25,0,1,Bermuda
2022/8/26,0,1,Bermuda
2022/8/27,0,1,Bermuda
2022/8/28,0,1,Bermuda
2022/8/29,0,1,Bermuda
2022/8/30,0,1,Bermuda
2022/8/31,0,1,Bermuda
2022/9/1,0,1,Bermuda
2022/9/2,0,1,Bermuda
2022/9/3,0,1,Bermuda
2022/9/4,0,1,Bermuda
2022/9/5,0,1,Bermuda
2022/9/6,0,1,Bermuda
2022/9/7,0,1,Bermuda
2022/9/8,0,1,Bermuda
2022/8/1,1,1,Bolivia
2022/8/2,0,1,Bolivia
2022/8/3,2,3,Bolivia
2022/8/4,0,3,Bolivia
2022/8/5,0,3,Bolivia
2022/8/6,2,5,Bolivia
2022/8/7,0,5,Bolivia
2022/8/8,0,5,Bolivia
2022/8/9,0,5,Bolivia
2022/8/10,1,6,Bolivia
2022/8/11,4,10,Bolivia
2022/8/12,1,11,Bolivia
2022/8/13,0,11,Bolivia
2022/8/14,0,11,Bolivia
2022/8/15,10,21,Bolivia
2022/8/16,6,27,Bolivia
2022/8/17,4,31,Bolivia
2022/8/18,6,37,Bolivia
2022/8/19,0,37,Bolivia
2022/8/20,5,42,Bolivia
2022/8/21,1,43,Bolivia
2022/8/22,0,43,Bolivia
2022/8/23,6,49,Bolivia
2022/8/24,4,53,Bolivia
2022/8/25,0,53,Bolivia
2022/8/26,0,53,Bolivia
2022/8/27,0,53,Bolivia
2022/8/28,0,53,Bolivia
2022/8/29,16,69,Bolivia
2022/8/30,10,79,Bolivia
2022/8/31,0,79,Bolivia
2022/9/1,7,86,Bolivia
2022/9/2,2,88,Bolivia
2022/9/3,2,90,Bolivia
2022/9/4,2,92,Bolivia
2022/9/5,0,92,Bolivia
2022/9/6,8,100,Bolivia
2022/9/7,0,100,Bolivia
2022/9/8,0,100,Bolivia
2022/7/13,1,1,Bosnia And Herzegovina
2022/7/14,0,1,Bosnia And Herzegovina
2022/7/15,0,1,Bosnia And Herzegovina
2022/7/16,0,1,Bosnia And Herzegovina
2022/7/17,0,1,Bosnia And Herzegovina
2022/7/18,0,1,Bosnia And Herzegovina
2022/7/19,0,1,Bosnia And Herzegovina
2022/7/20,0,1,Bosnia And Herzegovina
2022/7/21,0,1,Bosnia And Herzegovina
2022/7/22,0,1,Bosnia And Herzegovina
2022/7/23,0,1,Bosnia And Herzegovina
2022/7/24,0,1,Bosnia And Herzegovina
2022/7/25,0,1,Bosnia And Herzegovina
2022/7/26,0,1,Bosnia And Herzegovina
2022/7/27,0,1,Bosnia And Herzegovina
2022/7/28,0,1,Bosnia And Herzegovina
2022/7/29,0,1,Bosnia And Herzegovina
2022/7/30,0,1,Bosnia And Herzegovina
2022/7/31,0,1,Bosnia And Herzegovina
2022/8/1,0,1,Bosnia And Herzegovina
2022/8/2,2,3,Bosnia And Herzegovina
2022/8/3,0,3,Bosnia And Herzegovina
2022/8/4,0,3,Bosnia And Herzegovina
2022/8/5,0,3,Bosnia And Herzegovina
2022/8/6,0,3,Bosnia And Herzegovina
2022/8/7,0,3,Bosnia And Herzegovina
2022/8/8,0,3,Bosnia And Herzegovina
2022/8/9,0,3,Bosnia And Herzegovina
2022/8/10,0,3,Bosnia And Herzegovina
2022/8/11,0,3,Bosnia And Herzegovina
2022/8/12,0,3,Bosnia And Herzegovina
2022/8/13,0,3,Bosnia And Herzegovina
2022/8/14,0,3,Bosnia And Herzegovina
2022/8/15,0,3,Bosnia And Herzegovina
2022/8/16,0,3,Bosnia And Herzegovina
2022/8/17,0,3,Bosnia And Herzegovina
2022/8/18,0,3,Bosnia And Herzegovina
2022/8/19,0,3,Bosnia And Herzegovina
2022/8/20,0,3,Bosnia And Herzegovina
2022/8/21,0,3,Bosnia And Herzegovina
2022/8/22,0,3,Bosnia And Herzegovina
2022/8/23,0,3,Bosnia And Herzegovina
2022/8/24,0,3,Bosnia And Herzegovina
2022/8/25,0,3,Bosnia And Herzegovina
2022/8/26,0,3,Bosnia And Herzegovina
2022/8/27,0,3,Bosnia And Herzegovina
2022/8/28,0,3,Bosnia And Herzegovina
